year,month,day,dayofweek,main_sum,main_range,main_even_count,main_high_count,stars_sum,stars_even_count,jackpot_val,main_any_days_since_seen_avg,star_any_days_since_seen_avg,N1_lag1,N1_lag2,N1_lag3,N2_lag1,N2_lag2,N2_lag3,N3_lag1,N3_lag2,N3_lag3,N4_lag1,N4_lag2,N4_lag3,N5_lag1,N5_lag2,N5_lag3,E1_lag1,E1_lag2,E1_lag3,E2_lag1,E2_lag2,E2_lag3,N1_days_since_seen,N2_days_since_seen,N3_days_since_seen,N4_days_since_seen,N5_days_since_seen,E1_days_since_seen,E2_days_since_seen,N1_rolling_unique_10,N1_rolling_unique_25,N1_rolling_unique_50,N2_rolling_unique_10,N2_rolling_unique_25,N2_rolling_unique_50,N3_rolling_unique_10,N3_rolling_unique_25,N3_rolling_unique_50,N4_rolling_unique_10,N4_rolling_unique_25,N4_rolling_unique_50,N5_rolling_unique_10,N5_rolling_unique_25,N5_rolling_unique_50,E1_rolling_unique_10,E1_rolling_unique_25,E1_rolling_unique_50,E2_rolling_unique_10,E2_rolling_unique_25,E2_rolling_unique_50,target_N1,target_N2,target_N3,target_N4,target_N5,target_E1,target_E2
2005,3,18,4,159,42,2,3,12,0,35000000,50.4,31.5,8.0,12.0,3.0,12.0,24.0,27.0,23.0,32.0,30.0,40.0,37.0,43.0,43.0,39.0,44.0,1.0,7.0,4.0,4.0,9.0,8.0,63.0,70.0,392.0,21.0,161.0,49.0,35.0,9.0,12.0,17.0,8.0,15.0,23.0,8.0,16.0,27.0,7.0,17.0,28.0,10.0,16.0,22.0,5.0,8.0,8.0,5.0,6.0,8.0,4.0,29.0,33.0,37.0,38.0,6.0,9.0
2005,3,25,4,141,34,2,4,15,1,44000000,105.0,56.0,6.0,8.0,12.0,23.0,12.0,24.0,39.0,23.0,32.0,43.0,40.0,37.0,48.0,43.0,39.0,5.0,1.0,7.0,7.0,4.0,9.0,133.0,308.0,196.0,21.0,147.0,119.0,21.0,10.0,12.0,17.0,8.0,15.0,23.0,9.0,16.0,27.0,6.0,16.0,28.0,10.0,16.0,21.0,6.0,8.0,8.0,4.0,6.0,8.0,25.0,26.0,41.0,44.0,47.0,3.0,7.0
2005,4,8,4,124,43,1,2,4,0,62000000,89.6,17.5,25.0,4.0,6.0,26.0,29.0,23.0,41.0,33.0,39.0,44.0,37.0,43.0,47.0,38.0,48.0,3.0,6.0,5.0,7.0,9.0,7.0,70.0,84.0,56.0,259.0,56.0,28.0,84.0,10.0,12.0,18.0,10.0,15.0,23.0,9.0,17.0,27.0,7.0,18.0,28.0,9.0,16.0,21.0,7.0,8.0,8.0,5.0,6.0,8.0,6.0,28.0,31.0,38.0,42.0,3.0,9.0
2005,4,22,4,97,44,2,1,14,0,23000000,57.4,21.0,6.0,7.0,25.0,28.0,11.0,26.0,31.0,25.0,41.0,38.0,31.0,44.0,42.0,50.0,47.0,3.0,1.0,3.0,9.0,3.0,7.0,56.0,196.0,133.0,91.0,21.0,35.0,7.0,8.0,12.0,18.0,10.0,16.0,22.0,10.0,18.0,26.0,8.0,18.0,27.0,9.0,17.0,20.0,7.0,8.0,8.0,5.0,6.0,8.0,3.0,9.0,35.0,39.0,42.0,1.0,8.0
2005,4,29,4,128,39,1,3,9,1,15000000,86.8,42.0,3.0,6.0,7.0,10.0,28.0,11.0,13.0,31.0,25.0,24.0,38.0,31.0,47.0,42.0,50.0,5.0,3.0,1.0,9.0,9.0,3.0,7.0,189.0,336.0,224.0,14.0,21.0,63.0,7.0,12.0,18.0,10.0,17.0,22.0,10.0,19.0,26.0,8.0,19.0,27.0,8.0,17.0,20.0,6.0,8.0,8.0,5.0,6.0,8.0,7.0,12.0,21.0,26.0,44.0,6.0,8.0
2005,5,20,4,101,41,2,2,13,1,42000000,28.0,21.0,12.0,7.0,3.0,17.0,12.0,9.0,31.0,21.0,35.0,32.0,26.0,39.0,40.0,44.0,42.0,2.0,6.0,1.0,9.0,8.0,8.0,35.0,343.0,28.0,266.0,28.0,28.0,14.0,6.0,12.0,18.0,10.0,18.0,23.0,8.0,18.0,24.0,10.0,19.0,27.0,7.0,15.0,20.0,5.0,8.0,8.0,4.0,6.0,8.0,2.0,24.0,31.0,48.0,50.0,4.0,9.0
2005,6,10,4,129,41,2,3,8,0,32000000,33.6,38.5,3.0,2.0,6.0,8.0,24.0,7.0,11.0,31.0,13.0,17.0,48.0,28.0,50.0,50.0,47.0,1.0,4.0,5.0,5.0,9.0,8.0,21.0,21.0,98.0,77.0,21.0,7.0,70.0,5.0,12.0,18.0,9.0,16.0,23.0,7.0,16.0,22.0,10.0,18.0,28.0,5.0,14.0,20.0,6.0,8.0,8.0,5.0,7.0,7.0,4.0,8.0,10.0,18.0,21.0,1.0,7.0
2005,6,24,4,88,39,3,1,15,1,52000000,102.2,21.0,4.0,6.0,3.0,8.0,7.0,8.0,10.0,32.0,11.0,18.0,37.0,17.0,21.0,47.0,50.0,1.0,1.0,1.0,7.0,7.0,5.0,14.0,7.0,154.0,294.0,147.0,112.0,35.0,6.0,12.0,18.0,7.0,15.0,22.0,8.0,16.0,22.0,10.0,18.0,29.0,7.0,14.0,21.0,6.0,8.0,8.0,4.0,6.0,7.0,4.0,5.0,23.0,25.0,28.0,3.0,4.0
2005,7,15,4,89,41,2,1,9,1,81000000,57.4,42.0,35.0,4.0,6.0,36.0,5.0,8.0,42.0,23.0,14.0,46.0,25.0,15.0,49.0,28.0,45.0,2.0,3.0,7.0,8.0,4.0,8.0,161.0,98.0,245.0,441.0,77.0,14.0,203.0,7.0,12.0,17.0,7.0,17.0,24.0,9.0,17.0,22.0,10.0,19.0,30.0,8.0,14.0,22.0,6.0,8.0,8.0,6.0,7.0,7.0,3.0,14.0,41.0,48.0,49.0,1.0,4.0
2005,8,12,4,145,25,2,3,16,0,24000000,47.6,63.0,2.0,3.0,3.0,11.0,19.0,14.0,21.0,26.0,41.0,22.0,49.0,48.0,30.0,50.0,49.0,4.0,4.0,1.0,6.0,5.0,4.0,238.0,147.0,168.0,63.0,91.0,49.0,77.0,7.0,11.0,17.0,8.0,17.0,24.0,10.0,17.0,22.0,9.0,20.0,31.0,9.0,14.0,22.0,5.0,7.0,8.0,6.0,7.0,7.0,11.0,24.0,29.0,31.0,41.0,1.0,3.0
2005,8,19,4,136,30,1,3,4,0,35000000,71.4,31.5,15.0,2.0,3.0,23.0,11.0,19.0,30.0,21.0,26.0,37.0,22.0,49.0,40.0,30.0,50.0,7.0,4.0,4.0,9.0,6.0,5.0,189.0,84.0,273.0,133.0,336.0,28.0,133.0,8.0,12.0,17.0,8.0,16.0,24.0,10.0,18.0,22.0,10.0,20.0,31.0,9.0,15.0,21.0,5.0,7.0,8.0,7.0,7.0,7.0,9.0,29.0,35.0,40.0,41.0,1.0,6.0
2005,8,26,4,154,32,1,4,7,1,45000000,39.2,14.0,11.0,15.0,2.0,24.0,23.0,11.0,29.0,30.0,21.0,31.0,37.0,22.0,41.0,40.0,30.0,1.0,7.0,4.0,3.0,9.0,6.0,392.0,154.0,119.0,168.0,7.0,7.0,21.0,9.0,13.0,17.0,9.0,16.0,23.0,10.0,18.0,22.0,10.0,20.0,30.0,8.0,14.0,21.0,5.0,7.0,8.0,6.0,7.0,7.0,3.0,4.0,14.0,43.0,50.0,3.0,6.0
2005,9,2,4,114,47,3,2,9,1,57000000,68.6,10.5,9.0,11.0,15.0,29.0,24.0,23.0,35.0,29.0,30.0,40.0,31.0,37.0,41.0,41.0,40.0,1.0,1.0,7.0,6.0,3.0,9.0,35.0,252.0,70.0,168.0,35.0,49.0,7.0,8.0,12.0,17.0,9.0,17.0,23.0,10.0,18.0,22.0,10.0,20.0,30.0,7.0,13.0,21.0,5.0,7.0,8.0,6.0,7.0,7.0,8.0,12.0,19.0,31.0,50.0,6.0,7.0
2005,9,9,4,120,42,3,2,13,1,66000000,40.6,17.5,3.0,9.0,11.0,4.0,29.0,24.0,14.0,35.0,29.0,43.0,40.0,31.0,50.0,41.0,41.0,3.0,1.0,1.0,6.0,6.0,3.0,182.0,126.0,406.0,21.0,7.0,126.0,84.0,8.0,13.0,16.0,9.0,17.0,23.0,10.0,18.0,23.0,9.0,20.0,30.0,6.0,12.0,21.0,6.0,7.0,8.0,7.0,7.0,7.0,12.0,13.0,19.0,21.0,38.0,3.0,9.0
